product_pair,count
"('36f60d45225e60c7da4558b070ce4b60', 'e53e557d5a159f5aa2c5e995dfdf244b')",34
"('35afc973633aaeb6b877ff57b2793310', '99a4788cb24856965c36a24e339b6058')",29
"('4fcb3d9a5f4871e8362dfedbdb02b064', 'f4f67ccaece962d013a4e1d7dc3a61f7')",17
"('36f60d45225e60c7da4558b070ce4b60', '3f14d740544f37ece8a9e7bc8349797e')",12
"('389d119b48cf3043d311335e499d9c6b', '422879e10f46682990de24d770e7f83d')",11
"('389d119b48cf3043d311335e499d9c6b', '53759a2ecddad2bb87a079a1f1519f73')",9
"('368c6c730842d78016ad823897a372db', '53759a2ecddad2bb87a079a1f1519f73')",8
"('18486698933fbb64af6c0a255f7dd64c', 'dbb67791e405873b259e4656bf971246')",7
"('422879e10f46682990de24d770e7f83d', '53759a2ecddad2bb87a079a1f1519f73')",7
"('4d0ec1e9b95fb62f9a1fbe21808bf3b1', '9ad75bd7267e5c724cb42c71ac56ca72')",6
